epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.18,1.27399,1.22809,0.8936,0.64786,0.49553,0.57244,0.27894,1.56417,1.8798,0.86278,0.0011882,0.0011882,0.0011882
43,113.822,1.19532,1.35105,0.86964,0.64786,0.49553,0.57244,0.27894,1.56417,1.8798,0.86278,0.0011684,0.0011684,0.0011684
44,116.44,1.20181,1.22312,0.8701,0.68762,0.50831,0.58626,0.27462,1.54987,1.80866,0.86075,0.0011486,0.0011486,0.0011486
45,119.017,1.48417,1.47413,0.88791,0.68762,0.50831,0.58626,0.27462,1.54987,1.80866,0.86075,0.0011288,0.0011288,0.0011288
46,121.63,1.17882,1.16702,0.84355,0.68762,0.50831,0.58626,0.27462,1.54987,1.80866,0.86075,0.001109,0.001109,0.001109
47,124.304,1.25012,1.24069,0.88915,0.26046,0.57692,0.39595,0.17607,1.51223,1.92717,0.85515,0.0010892,0.0010892,0.0010892
48,126.947,1.37711,1.40503,0.91673,0.26046,0.57692,0.39595,0.17607,1.51223,1.92717,0.85515,0.0010694,0.0010694,0.0010694
49,129.543,1.21885,1.31578,0.84831,0.69198,0.65385,0.60708,0.31891,1.45569,1.61247,0.84119,0.0010496,0.0010496,0.0010496
50,132.171,1.12105,1.14689,0.87181,0.69198,0.65385,0.60708,0.31891,1.45569,1.61247,0.84119,0.0010298,0.0010298,0.0010298
51,134.808,1.18701,1.20756,0.8814,0.69198,0.65385,0.60708,0.31891,1.45569,1.61247,0.84119,0.00101,0.00101,0.00101
52,137.453,1.29368,1.12548,0.85344,0.67065,0.70519,0.61569,0.32085,1.40421,1.50365,0.84011,0.0009902,0.0009902,0.0009902
53,140.026,1.29143,1.25235,0.85119,0.67065,0.70519,0.61569,0.32085,1.40421,1.50365,0.84011,0.0009704,0.0009704,0.0009704
54,142.606,1.28258,1.22254,0.87587,0.67065,0.70519,0.61569,0.32085,1.40421,1.50365,0.84011,0.0009506,0.0009506,0.0009506
55,145.284,1.0932,1.09848,0.8304,0.68956,0.68371,0.6087,0.31697,1.35647,1.51628,0.84426,0.0009308,0.0009308,0.0009308
56,147.993,1.07446,1.00522,0.8307,0.68956,0.68371,0.6087,0.31697,1.35647,1.51628,0.84426,0.000911,0.000911,0.000911
57,150.675,1.09409,1.07778,0.8367,0.72074,0.49651,0.53085,0.26602,1.38551,1.59438,0.84625,0.0008912,0.0008912,0.0008912
58,153.309,1.05279,1.02125,0.88319,0.72074,0.49651,0.53085,0.26602,1.38551,1.59438,0.84625,0.0008714,0.0008714,0.0008714
59,155.956,0.97186,0.92805,0.87106,0.72074,0.49651,0.53085,0.26602,1.38551,1.59438,0.84625,0.0008516,0.0008516,0.0008516
60,158.667,1.11844,1.26809,0.86319,0.6543,0.6552,0.54421,0.30632,1.34501,1.50052,0.84236,0.0008318,0.0008318,0.0008318
61,161.268,1.05564,0.99104,0.83131,0.6543,0.6552,0.54421,0.30632,1.34501,1.50052,0.84236,0.000812,0.000812,0.000812
62,163.962,1.12567,1.13246,0.84199,0.6543,0.6552,0.54421,0.30632,1.34501,1.50052,0.84236,0.0007922,0.0007922,0.0007922
63,166.653,1.21823,1.07805,0.86583,0.68815,0.67933,0.59961,0.299,1.38619,1.42946,0.84726,0.0007724,0.0007724,0.0007724
64,169.242,1.11289,1.09631,0.87733,0.68815,0.67933,0.59961,0.299,1.38619,1.42946,0.84726,0.0007526,0.0007526,0.0007526
65,171.838,1.1438,1.10888,0.86252,0.66097,0.69231,0.57689,0.28491,1.43664,1.39574,0.8486,0.0007328,0.0007328,0.0007328
66,174.394,1.18499,1.10924,0.87452,0.66097,0.69231,0.57689,0.28491,1.43664,1.39574,0.8486,0.000713,0.000713,0.000713
67,177.008,1.03967,0.99112,0.80997,0.66097,0.69231,0.57689,0.28491,1.43664,1.39574,0.8486,0.0006932,0.0006932,0.0006932
68,179.629,1.11283,1.05977,0.85827,0.76547,0.73077,0.6975,0.29479,1.3686,1.37333,0.84575,0.0006734,0.0006734,0.0006734
69,182.282,1.05612,0.97722,0.81051,0.76547,0.73077,0.6975,0.29479,1.3686,1.37333,0.84575,0.0006536,0.0006536,0.0006536
70,184.903,1.19091,1.09593,0.89886,0.76547,0.73077,0.6975,0.29479,1.3686,1.37333,0.84575,0.0006338,0.0006338,0.0006338
71,187.52,0.95318,0.88543,0.83439,0.72159,0.73077,0.59721,0.29817,1.36583,1.40909,0.84274,0.000614,0.000614,0.000614
72,190.135,1.06142,1.18227,0.83928,0.72159,0.73077,0.59721,0.29817,1.36583,1.40909,0.84274,0.0005942,0.0005942,0.0005942
73,192.805,1.08872,0.99686,0.89682,0.68773,0.67799,0.52844,0.30374,1.33201,1.37318,0.83968,0.0005744,0.0005744,0.0005744
74,195.374,1.02748,0.89328,0.84487,0.68773,0.67799,0.52844,0.30374,1.33201,1.37318,0.83968,0.0005546,0.0005546,0.0005546
75,197.986,1.05068,0.99594,0.84684,0.68773,0.67799,0.52844,0.30374,1.33201,1.37318,0.83968,0.0005348,0.0005348,0.0005348
76,200.637,0.91104,0.89536,0.83508,0.67462,0.69231,0.52103,0.32962,1.26738,1.28001,0.83631,0.000515,0.000515,0.000515
77,203.273,0.9901,0.96133,0.84895,0.67462,0.69231,0.52103,0.32962,1.26738,1.28001,0.83631,0.0004952,0.0004952,0.0004952
78,206.104,0.93691,0.91916,0.82991,0.67462,0.69231,0.52103,0.32962,1.26738,1.28001,0.83631,0.0004754,0.0004754,0.0004754
79,208.691,0.89848,0.96268,0.84856,0.67877,0.69231,0.53359,0.34496,1.22082,1.26234,0.83397,0.0004556,0.0004556,0.0004556
80,211.319,0.90541,0.98456,0.8583,0.67877,0.69231,0.53359,0.34496,1.22082,1.26234,0.83397,0.0004358,0.0004358,0.0004358
81,213.985,0.96754,0.99881,0.84117,0.68381,0.69231,0.54474,0.35217,1.21589,1.26071,0.83297,0.000416,0.000416,0.000416
82,216.603,0.96617,1.07855,0.83762,0.68381,0.69231,0.54474,0.35217,1.21589,1.26071,0.83297,0.0003962,0.0003962,0.0003962
83,219.188,1.07372,1.00867,0.85079,0.68381,0.69231,0.54474,0.35217,1.21589,1.26071,0.83297,0.0003764,0.0003764,0.0003764
